sample,group,study
SRR12045496,Control_iPSCs,de_Rus_Jacquet
SRR12045497,Control_iPSCs,de_Rus_Jacquet
SRR12045501,Control_iPSC_derived_astrocytes,de_Rus_Jacquet
SRR12045502,Control_iPSC_derived_astrocytes,de_Rus_Jacquet
SRR12045503,Control_iPSC_derived_astrocytes,de_Rus_Jacquet
SRR12045507,Cortical_astrocytes,de_Rus_Jacquet
SRR12045508,Cortical_astrocytes,de_Rus_Jacquet
SRR12045509,Cortical_astrocytes,de_Rus_Jacquet
SRR7406472,Control_iPSCs,di_Domenico
SRR7406473,Control_iPSCs,di_Domenico
SRR7406476,Control_iPSC_derived_astrocytes,di_Domenico
SRR7406477,Control_iPSC_derived_astrocytes,di_Domenico
SRR7406480,Cortical_astrocytes,di_Domenico
SRR7406481,Cortical_astrocytes,di_Domenico
SRR7889835,Control_iPSC_derived_astrocytes,Booth_et_al
SRR7889836,Control_iPSC_derived_astrocytes,Booth_et_al
SRR7889837,Control_iPSC_derived_astrocytes,Booth_et_al